module	method	path	purpose	auth_expected	current_auth_evidence	target_backend_mapping	frontend_exposure_allowed	migration_phase	notes
services/artifact-server	GET	/health	health probe	no	none in route branch	Apoema backend readiness probe or internal adapter health	no	M1_ARTIFACT_SERVER_CONTRACT	Keep stable for service orchestration and smoke checks.
services/artifact-server	POST	/v1/artifacts	upload/create artifact	yes	internal key and bearer token handling in server.js	backend adapter → artifact service	no	M1_ARTIFACT_SERVER_CONTRACT	Contract boundary must stay backend-owned with explicit audit.
services/artifact-server	GET	/v1/artifacts/:id	metadata fetch	yes	loadMetadata + access token check	backend adapter → artifact metadata DTO	no	M1_ARTIFACT_SERVER_CONTRACT	Expose DTOs only; never raw storage objects.
services/artifact-server	POST	/v1/artifacts/:id/access-link	mint signed access link	yes	token signature using ARTIFACT_ACCESS_TOKEN_SECRET / ARTIFACT_INTERNAL_KEY	backend adapter link issuance	no	M1_ARTIFACT_SERVER_CONTRACT	Required for chat bridge link rewriting.
services/artifact-server	GET/HEAD	/v1/artifacts/:id/content	artifact download/content stream	yes	signed token query param and content handler	backend adapter content proxy	no	M1_ARTIFACT_SERVER_CONTRACT	Keep binary content delivery off the frontend boundary.
services/artifact-server	DELETE	/v1/artifacts/:id	delete artifact	yes	handleDelete route branch	backend adapter deletion	no	M1_ARTIFACT_SERVER_CONTRACT	If used, preserve audit trail and avoid destructive automation without preview.
services/chat-bridge	GET	/health	bridge health probe	no	simple health JSON branch	bridge health endpoint	no	M2_CHAT_BRIDGE_HERMES_ADAPTER	Use for smoke checks only.
services/chat-bridge	POST	/api/chat/runs	create chat run	yes	verifyUser() in route branch	Apoema chat adapter / run orchestrator	yes via backend only	M2_CHAT_BRIDGE_HERMES_ADAPTER	Frontend should call backend; adapter manages auth/rate-limit/audit.
services/chat-bridge	POST	/api/chat/stream	stream chat conversation	yes	verifyUser() and SSE handling	Apoema streaming adapter	yes via backend only	M2_CHAT_BRIDGE_HERMES_ADAPTER	Keep SSE boundary server-side; do not expose provider directly to UI.
services/chat-bridge	POST	/api/chat/session/delete	delete chat session	yes	verifyUser() + Supabase row deletion	Apoema session management	yes via backend only	M2_CHAT_BRIDGE_HERMES_ADAPTER	Needs explicit audit/historical traces.
services/rag-mcp	POST	/mcp	MCP JSON-RPC transport	depends	MCP transport; service-level config handles Supabase credentials	external MCP service/adapter	no	M3_RAG_MCP_EXTERNAL_SERVICE	Keep as independent service; no direct provider call from the UI.
services/rag-mcp	GET	/health	MCP health probe	no	explicit health JSON response	service readiness probe	no	M3_RAG_MCP_EXTERNAL_SERVICE	Useful for smoke and container healthchecks.
apps/designer-api	POST	/banners	submit banner generation job	yes	FastAPI endpoint with job orchestration and request validation	optional adapter module behind backend	yes via backend only	M4_DESIGNER_API_MODULE	Keep async job contract and output files behind backend auth.
apps/designer-api	GET	/banners/{job_id}	query generation status	yes	job lookup + Pydantic response model	job status DTO	yes via backend only	M4_DESIGNER_API_MODULE	Use DTOs; do not return mutable model internals directly.
apps/designer-api	GET	/health	service health	no	simple status dict	service readiness probe	no	M4_DESIGNER_API_MODULE	Keeps startup smoke tests deterministic.
