source_file	method	path	purpose	input_type	output_type	job_effect	artifact_effect	provider_effect	auth_evidence	migration_action	notes
api/app.py	GET	/health	Health check e contagem de jobs em memória	none	JSON {status, jobs_in_memory}	read-only	none	none	none	ADOPT_CONTRACT	Mantém observabilidade simples.
api/app.py	POST	/banners	Criar job de geração via multipart form	multipart/form-data + optional UploadFile + x-user-id	JobCreatedResponse	create + enqueue	future output upload via Supabase/local files	indirect via main.py	x-user-id header only	ADOPT_CONTRACT	Frontend target deve usar backend-owned contract e ownership real.
api/app.py	POST	/banners/json	Criar job de geração via JSON	application/json + x-user-id	JobCreatedResponse	create + enqueue	future output upload via Supabase/local files	indirect via main.py	x-user-id header only	ADOPT_CONTRACT	Base mais limpa para integração futura do Apoema.
execution/select_template.py; api/app.py	GET	/templates	Listar catálogo de templates por canal/KV	none	TemplatesResponse	read-only	none	none	none	ADOPT_CONTRACT	Serve como allowlist pública do frontend.
api/app.py	GET	/banners/form-options	Listar opções para formulário frontend	none	FormOptionsResponse	read-only	none	none	none	ADOPT_CONTRACT	Target backend-owned. Não expor provider.
api/app.py	GET	/banners/{job_id}	Consultar status de job	job_id path param	JobStatusResponse	read-only	surfaces signed/local file_url	none	none in external code	ADOPT_CONTRACT	Target deve exigir ownership e auditoria.
api/app.py; api/job_service.py	GET	/banners/{job_id}/download	Download/redirecionamento do resultado final	job_id path param	FileResponse ou RedirectResponse	read-only	download direto do arquivo atual	none	none in external code	ADAPT_CONTRACT	Target substitui por download-url com Artifact M1.
api/app.py	GET	/banners/metrics/enxoval	Métricas agregadas do enxoval	none	EnxovalMetricsResponse	read-only	none	none	none	DOCS_ONLY	Útil internamente, mas não é core do contrato alvo M4.
api/app.py; api/job_service.py	POST	/banners/{job_id}/items/{item_id}/adjust	Submeter ajuste em item gerado	JSON ou form prompt + x-user-id	accepted message	enqueue adjustment	may rewrite output	indirect via orchestrator	x-user-id ownership check on adjust	ADOPT_CONTRACT	Contrato futuro precisa auth/RBAC/audit e ownership real.
api/app.py; api/job_service.py	POST	/banners/{job_id}/items/{item_id}/refresh-url	Renovar signed URL de item	job_id + item_id	RefreshSignedUrlResponse	read/write artifact metadata	mint new signed URL	none	none in external code	ADAPT_CONTRACT	No target deve depender do contrato Artifact M1.
