target_method	target_path	purpose	request	response	auth	rbac	audit	rate_limit	artifact_dependency	chat_or_rag_dependency	implementation_phase	notes
GET	/api/v1/designer/health	health and service readiness	none	health payload	AUTH_REQUIRED	RBAC_REQUIRED	yes	low	no	no	M4A_CONTRACT_ONLY	Backend-owned route; no provider exposure.
GET	/api/v1/designer/templates	list backend-owned template catalog	none	templates catalog DTO	AUTH_REQUIRED	RBAC_REQUIRED	yes	low	no	no	M4A_CONTRACT_ONLY	Allowlist derived from templates only.
GET	/api/v1/designer/form-options	list backend-owned form options	none	options DTO	AUTH_REQUIRED	RBAC_REQUIRED	yes	low	no	no	M4A_CONTRACT_ONLY	Frontend renders from backend catalog; no provider/model data exposed.
POST	/api/v1/designer/banners	create multipart banner job	multipart form + optional persona image	job DTO with server-generated job_id	AUTH_REQUIRED	RBAC_REQUIRED	yes	yes	yes	optional chat assist later	M4A_CONTRACT_ONLY	Should create job only after validation and allowlist checks.
POST	/api/v1/designer/banners/json	create JSON banner job	application/json DTO	job DTO with server-generated job_id	AUTH_REQUIRED	RBAC_REQUIRED	yes	yes	yes	optional chat assist later	M4A_CONTRACT_ONLY	Preferred future API for Apoema form submission.
GET	/api/v1/designer/jobs/{job_id}	read job status and item list	job_id path param	job status DTO	AUTH_REQUIRED	RBAC_REQUIRED	yes	low	yes	no	M4A_CONTRACT_ONLY	Must enforce job ownership.
GET	/api/v1/designer/jobs/{job_id}/download-url	mint safe artifact download URL	job_id path param	signed download DTO	AUTH_REQUIRED	RBAC_REQUIRED	yes	yes	yes	no	M4A_CONTRACT_ONLY	Must delegate to Artifact M1; never public file path.
POST	/api/v1/designer/jobs/{job_id}/items/{item_id}/adjust	submit item adjustment prompt	adjustment DTO	accepted/cancelled/queued result DTO	AUTH_REQUIRED	RBAC_REQUIRED	yes	yes	yes	optional chat assist later	M4A_CONTRACT_ONLY	Prompt safety and ownership checks required.
POST	/api/v1/designer/jobs/{job_id}/items/{item_id}/refresh-url	refresh artifact URL	none	refreshed signed URL DTO	AUTH_REQUIRED	RBAC_REQUIRED	yes	yes	yes	no	M4A_CONTRACT_ONLY	Useful for expiring output links; Artifact-backed only.
POST	/api/v1/designer/jobs/{job_id}/cancel	cancel a running job	none or cancel DTO	cancel acknowledgement DTO	AUTH_REQUIRED	RBAC_REQUIRED	yes	low	yes	no	M4A_CONTRACT_ONLY	Not present externally yet; part of safe target contract.
